loc_id,x,y
51340100,102.094875,27.851342
51012100,104.605932,30.722651
51012200,104.016529,30.46185
51011500,103.827359,30.745193
51012400,103.880783,30.84249
51011400,104.085769,30.839399
51018200,103.91149,31.180175
51018400,103.643005,30.695286
51012900,103.392886,30.610914
51018300,103.403016,30.382554
51013100,103.537477,30.220362
51013200,103.811921,30.432757
51018100,103.607487,31.045232
51032100,104.359568,29.399468
51042100,101.96956,26.955867
51042200,101.50466,26.991746
51050200,105.442345,28.876741
51052100,105.450835,29.030807
51052200,105.944485,28.740928
51052400,105.428852,28.099577
51052500,105.945891,28.011505
51068300,104.127317,31.427121
51202200,105.021926,30.318094
51062300,104.806804,30.912593
51068200,103.968061,31.320541
51068100,104.284222,31.025781
51072200,105.007689,31.081993
51072300,105.459273,31.231038
51072400,104.365181,31.576773
51072500,105.213659,31.676191
51072600,104.239674,31.954728
51072700,104.414951,32.510965
51082200,105.127968,32.588543
51078100,104.909623,31.929126
51082100,106.380398,32.336207
51082300,105.492236,31.883004
51090200,105.417326,30.417994
51092200,105.417238,30.884626
51102400,104.552821,29.584331
51208100,104.53159,30.37023
51102800,105.233885,29.364644
51202100,105.349557,29.992716
51102500,104.784988,29.803777
51200200,104.739564,30.094961
51142100,104.223899,29.986448
51140200,103.740114,30.077766
51112300,103.942341,29.239353
51112400,104.06288,29.657105
51112600,103.511815,29.777625
51142200,103.850862,30.247883
51112900,103.844741,29.017182
51142500,103.837041,29.819169
51142300,103.168652,29.713089
51142400,103.414765,30.004954
51113200,103.249584,29.002512
51113300,103.532608,28.749963
51118100,103.397223,29.508316
51152200,104.927225,28.878847
51150200,104.673697,28.80233
51152100,104.36448,28.792528
51152400,104.886388,28.524815
51152800,105.111477,28.262272
51152300,105.117748,28.66681
51152500,104.576363,28.473597
51152700,104.575719,28.043831
51152600,104.829981,28.199934
51152900,103.993999,28.669359
51168100,106.764962,30.295141
51138100,106.042383,31.617401
51132100,105.894894,31.351028
51162100,106.41545,30.526331
51132200,106.703926,31.161059
51160200,106.790418,30.601378
51132300,106.429582,31.002377
51132400,106.545243,31.441949
51162200,106.201624,30.361214
51132500,105.843948,31.071122
51172300,107.887096,31.031826
51192200,106.789176,32.311022
51190200,106.746839,31.782723
51192300,107.190867,31.560176
51172500,106.958085,30.953192
51162300,107.001456,30.281726
51180200,103.040697,29.961449
51182500,102.577711,30.084932
51182100,103.230891,30.118357
51182200,102.627938,29.705865
51182300,102.636033,29.412559
51182400,102.245988,29.192425
51182600,103.015696,30.418002
51182700,102.709439,30.551618
51322100,103.306915,31.235515
51322200,103.048565,31.551727
51322300,103.554458,31.833092
51322400,103.457875,32.626701
51322500,103.943409,33.301545
51322600,101.76729,31.531069
51322700,102.500157,31.153253
51322800,103.03856,32.18325
51322900,102.000029,32.000767
51323000,101.007845,32.082921
51323100,101.849779,32.977059
51323200,102.896889,33.683272
51323300,102.614048,32.584805
51332200,102.081719,29.777143
51332100,101.766187,29.953555
51332300,101.748901,30.89348
51332400,101.632682,28.824178
51332500,100.882301,29.785973
51332600,101.155134,30.950165
51332700,100.616535,31.43031
51332800,99.781317,32.155567
51332900,100.253895,30.9586
51333000,98.930628,32.063928
51333100,99.263336,31.011389
51333200,98.307248,33.172088
51333300,100.248416,32.309514
51333400,100.117985,29.830136
51333500,99.347815,29.695369
51333600,99.719953,29.106695
51333700,100.277527,28.730293
51333800,99.337782,28.529473
51342200,100.897686,28.438666
51342300,101.394041,27.692273
51342400,102.183519,27.335701
51342500,102.225516,26.616992
51342600,102.7044,26.551452
51342700,102.690483,27.075724
51342800,102.552856,27.524928
51342900,102.882832,27.588606
51343000,103.228278,27.685442
51343100,102.835585,28.048645
51343200,102.460152,28.202943
51343300,102.031707,28.564417
51343400,102.61642,28.597171
51343500,102.726567,28.970367
51343600,103.091047,28.439499
51343700,103.54987,28.228279
51192100,107.368829,32.110589
51172400,107.246925,30.679484
51082400,106.096978,31.886652
51178100,107.991213,31.991433
51010400,103.990735,30.714954
51010500,104.047835,30.649366
51010600,104.125575,30.68404
51010700,104.245124,30.568038
51010800,104.307547,30.643431
51011200,104.376614,30.711395
51011300,104.279858,30.860519
51032200,104.973054,29.203383
51030200,104.869566,29.183397
51030300,104.79622,29.24078
51030400,104.748185,29.286363
51031100,104.860124,29.407444
51040200,101.846024,26.531884
51040300,101.646077,26.404066
51041100,101.699511,26.486247
51081100,105.920164,32.696784
51081200,105.827026,32.094504
51080200,105.692403,32.362854
51101100,105.032722,29.581505
51100200,105.220794,29.68218
51111100,103.783226,29.653292
51111200,103.550006,29.401234
51110200,103.770544,29.444702
51130200,105.973756,30.6481
51130300,105.989542,30.926284
51130400,106.244221,30.79296
51050300,105.331907,28.656694
51050400,105.51668,28.648472
51060300,104.42063,31.162386
51062600,104.50918,31.308117
51070300,104.68838,31.447136
51070400,104.940844,31.542128
51092100,105.721888,30.652096
51092300,105.270919,30.580964
51111300,103.069071,29.256014
51172100,107.40482,31.203931
51172200,107.95963,31.456916
51170200,107.607065,31.213225
